instancia,n,m,costo_inicial,cd,cr,costo_final,bks,gap_bks_pct,cpu_seg,nb_dep,nb_veh,factible,val_ok,val_r1,val_r3,val_r4,val_r5,val_r6
coord20-2-1.dat,20,2,49597.00,1100.00,33935.00,35035.00,-1.00,-1.00,0.28,2,6,1,1,1,1,1,1,1
coord20-5-1.dat,20,5,3376836.00,25549.00,29220.00,54769.00,54793.00,-0.04,0.27,3,5,1,1,1,1,1,1,1
coord20-5-1b.dat,20,5,82756.00,19785.00,24933.00,44718.00,75727.00,-40.95,0.43,2,3,1,1,1,1,1,1,1
coord20-5-2.dat,20,5,1275518.00,24196.00,24689.00,48885.00,80538.00,-39.30,0.43,3,5,1,1,1,1,1,1,1
coord20-5-2b.dat,20,5,74666.00,21739.00,20779.00,42518.00,62987.00,-32.50,0.51,2,3,1,1,1,1,1,1,1
